GeneId,HC_RNA_S153,IBM-Neg_S152,IBM-Pos_S151,UT_RNA_S154
MIR1302-2HG,0,0,0,0
FAM138A,0,0,0,0
OR4F5,0,0,0,0
AL627309.1,0,1,0,0
AL627309.3,0,0,0,0
AL627309.2,0,0,0,0
AL627309.4,0,0,0,0
AL732372.1,0,0,0,0
OR4F29,0,0,0,0
AC114498.1,0,0,0,0
OR4F16,0,0,0,0
AL669831.2,0,0,0,0
AL669831.5,0,0,10,0
FAM87B,0,0,0,0
LINC00115,0,0,87,0
FAM41C,3,0,0,0
AL645608.7,0,0,0,0
AL645608.3,0,0,0,0
AL645608.5,0,0,0,0
AL645608.1,0,0,0,10
SAMD11,90,234,4,0
NOC2L,64,326,1883,28
KLHL17,0,114,0,0
PLEKHN1,0,0,0,0
PERM1,0,0,0,0
AL645608.8,0,0,0,0
HES4,0,0,0,0
ISG15,2,978,408,169
AL645608.2,0,0,0,0
AGRN,317,48,17,7
AL645608.9,0,0,0,0
RNF223,0,0,0,0
C1orf159,56,22,246,72
LINC01342,0,0,0,0
AL390719.2,0,0,0,0
TTLL10-AS1,0,0,0,0
TTLL10,0,0,0,0
TNFRSF18,0,0,0,0
TNFRSF4,0,0,0,0
SDF4,8813,6991,6983,2836
B3GALT6,2164,689,568,200
C1QTNF12,0,0,0,0
AL162741.1,0,0,0,0
UBE2J2,638,1267,1494,1708
LINC01786,0,0,0,0
SCNN1D,0,32,160,0
ACAP3,877,524,497,22
PUSL1,4271,1588,552,499
INTS11,446,346,633,663
CPTP,116,60,51,0
TAS1R3,3,0,0,0
DVL1,6693,4600,7047,3719
MXRA8,224,436,569,222
AURKAIP1,2118,2331,1545,2022
CCNL2,9300,2680,5041,4726
MRPL20,2441,900,633,386
AL391244.3,1,0,0,0
ANKRD65,0,1,0,0
AL391244.2,0,0,0,0
TMEM88B,0,0,0,0
LINC01770,0,0,0,0
VWA1,920,4,54,0
ATAD3C,0,0,0,0
ATAD3B,620,1100,2264,1251
ATAD3A,1214,607,960,42
TMEM240,0,21,0,0
SSU72,641,1756,1931,2586
AL645728.1,0,1,0,1
FNDC10,527,62,14,0
AL691432.2,0,24,740,0
MIB2,102,583,3884,2
MMP23B,0,49,91,1
CDK11B,1,26,148,5
FO704657.1,0,0,0,0
SLC35E2B,371,266,485,122
CDK11A,0,10,22,14
SLC35E2A,170,566,342,654
NADK,815,1024,1789,1025
GNB1,14207,14567,14625,6882
AL109917.1,0,0,0,0
CALML6,0,0,0,0
TMEM52,0,0,0,0
CFAP74,0,0,0,0
AL391845.2,0,0,0,0
GABRD,0,0,0,4
AL391845.1,0,0,0,0
PRKCZ,0,35,32,0
AL590822.2,1,0,0,0
PRKCZ-AS1,30,1,0,0
FAAP20,127,466,1106,5
AL590822.1,0,0,0,0
SKI,1067,3520,4375,972
MORN1,0,91,172,17
RER1,3508,2413,4920,898
PEX10,2,42,30,0
PLCH2,0,0,0,0
AL139246.1,0,0,0,0
AL139246.4,0,0,0,0
PANK4,41,135,100,645
HES5,0,0,0,0
AL139246.5,0,0,0,0
TNFRSF14-AS1,1,0,0,0
TNFRSF14,0,116,191,589
AL139246.3,0,0,0,0
FAM213B,15,118,864,2
MMEL1,0,0,0,0
AL831784.1,0,0,0,0
TTC34,0,0,0,0
AC242022.1,0,0,0,0
AL592464.2,0,0,0,0
AL592464.1,0,0,0,0
AL589702.1,0,0,0,0
ACTRT2,0,0,0,0
LINC00982,0,0,191,0
PRDM16,6,60,0,0
AL008733.1,0,0,0,0
AL590438.1,0,0,0,0
ARHGEF16,0,0,0,0
AL512413.1,0,0,0,0
MEGF6,541,218,840,25
AL513320.1,0,0,0,0
TPRG1L,3724,6819,7888,5926
WRAP73,1003,177,219,59
TP73,0,54,0,0
AL136528.1,0,0,0,0
AL136528.2,0,0,0,0
CCDC27,1,2,18,0
SMIM1,0,0,0,0
LRRC47,5737,6520,9649,4656
AL365330.1,0,0,1,0
CEP104,1830,1050,1329,1581
DFFB,0,149,0,1207
C1orf174,1970,1159,1452,328
LINC01134,0,0,0,0
LINC01346,0,0,0,0
LINC01345,0,0,0,0
AL805961.1,0,0,0,0
AL805961.2,0,0,0,0
LINC01777,0,0,0,0
AL355602.1,0,0,0,0
Z98747.1,0,0,0,0
LINC01646,0,0,0,0
AJAP1,95,120,107,0
BX005132.2,0,0,0,0
BX005132.1,0,0,0,0
AL691497.1,0,0,0,0
AL139823.1,0,0,0,0
Z98259.3,0,0,0,0
Z98259.2,0,0,0,0
Z98259.1,0,0,0,0
AL365255.1,0,0,0,0
NPHP4,2,192,64,301
KCNAB2,14,88,697,0
CHD5,0,0,0,0
RPL22,35222,38625,35809,29643
AL031847.1,0,0,0,0
RNF207,2,12,987,0
ICMT,8426,9132,13498,9656
LINC00337,0,5,0,1
HES3,0,0,0,0
GPR153,1720,452,588,732
ACOT7,1714,232,464,222
AL031848.2,0,0,0,0
HES2,0,4,0,1
ESPN,0,1,0,0
AL031848.1,0,0,0,0
TNFRSF25,0,2,27,0
PLEKHG5,3,89,334,6
NOL9,3441,763,2130,2434
TAS1R1,0,0,0,60
ZBTB48,179,110,37,0
KLHL21,902,1117,1941,23
PHF13,187,1829,1569,55
THAP3,12,8,3,13
DNAJC11,187,10,31,8
LINC01672,0,0,0,0
AL591163.1,0,0,0,0
CAMTA1-DT,0,0,0,0
CAMTA1,450,2003,2093,191
AL512330.1,0,0,0,0
Z97987.1,0,0,0,0
AL365194.1,0,0,0,0
AL359881.3,0,0,0,0
AL359881.2,0,0,0,0
AL359881.1,0,0,0,0
VAMP3,5352,4501,6191,4075
PER3,150,435,1390,2058
Z98884.1,0,3,29,0
UTS2,0,0,0,0
TNFRSF9,0,2,0,0
PARK7,12957,24314,25728,19323
AL034417.4,0,0,0,0
AL034417.3,1,0,0,0
ERRFI1,8221,5011,6417,3955
AL034417.2,0,0,1,0
LINC01714,0,0,0,0
AL358876.2,0,0,0,0
SLC45A1,597,0,7,1
RERE,1737,1161,1359,547
AL096855.1,0,7,5,0
AL357552.2,0,0,0,0
ENO1,58865,57316,65746,27638
ENO1-AS1,0,0,24,0
CA6,0,0,0,0
SLC2A7,0,0,0,0
SLC2A5,1,384,687,66
GPR157,67,390,65,85
MIR34AHG,326,382,654,2
LINC01759,0,9,0,0
H6PD,5403,3179,3755,830
SPSB1,340,59,73,7
BX323043.1,0,0,0,0
AL928921.2,0,101,0,22
AL928921.1,0,0,0,0
SLC25A33,1172,770,320,922
TMEM201,48,49,51,0
PIK3CD,473,176,474,165
PIK3CD-AS1,0,0,0,0
PIK3CD-AS2,10,0,0,0
CLSTN1,3142,1676,4683,994
CTNNBIP1,0,259,625,141
AL357140.1,0,0,0,0
LZIC,2610,472,868,790
NMNAT1,2,237,587,105
RBP7,0,0,0,0
UBE4B,1291,2412,3145,670
KIF1B,4389,4257,5494,3554
AL139424.3,0,13,0,0
AL139424.2,0,2,0,0
PGD,10241,4811,4037,5506
AL139424.1,0,0,0,0
CENPS-CORT,0,0,0,0
CENPS,1342,1318,1204,1
CORT,0,154,1,0
DFFA,2996,1186,2062,356
AL354956.1,0,0,0,0
PEX14,1,44,7,0
CASZ1,0,1,0,0
AL139423.1,0,0,0,0
C1orf127,0,0,0,0
TARDBP,834,999,340,74
AL109811.4,0,0,0,0
MASP2,0,0,0,0
AL109811.3,0,16,0,0
SRM,1543,535,678,156
EXOSC10,3350,979,1661,443
AL109811.1,0,0,0,0
AL109811.2,0,0,0,0
MTOR,1119,299,1538,7
MTOR-AS1,0,0,0,0
ANGPTL7,0,0,266,0
UBIAD1,0,70,635,370
AL031291.1,0,0,0,0
DISP3,0,0,0,0
LINC01647,0,0,0,0
AL031731.1,0,1,0,0
FBXO2,0,86,0,0
FBXO44,6,6,21,0
FBXO6,0,13,144,406
MAD2L2,0,625,204,1116
DRAXIN,756,97,18,0
AGTRAP,7453,5073,4181,3714
C1orf167,0,0,0,0
AL953897.1,0,0,0,0
MTHFR,547,427,533,2292
CLCN6,253,774,286,44
NPPA-AS1,0,0,0,0
NPPA,0,0,0,0
NPPB,0,0,0,0
KIAA2013,3073,1683,1428,652
PLOD1,8164,5646,7732,3308
MFN2,7782,3951,4991,828
MIIP,0,423,917,1
TNFRSF8,0,9,0,0
TNFRSF1B,409,356,260,35
VPS13D,1132,547,460,64
AC243836.1,0,0,0,0
DHRS3,2751,3530,2377,2852
AC254633.1,0,0,0,0
AADACL4,0,0,0,0
AADACL3,0,0,0,0
C1orf158,0,0,0,1
PRAMEF12,0,0,0,0
PRAMEF1,0,0,0,0
LINC01784,0,0,0,0
PRAMEF11,0,0,0,0
HNRNPCL1,0,2,1,0
PRAMEF2,0,0,0,0
PRAMEF4,0,0,0,0
PRAMEF10,0,0,0,0
PRAMEF7,0,0,0,0
PRAMEF6,0,0,0,0
PRAMEF27,0,0,0,0
HNRNPCL3,0,0,0,0
PRAMEF25,0,0,0,0
HNRNPCL2,0,0,0,0
AC245056.1,0,0,0,0
PRAMEF26,0,0,0,0
HNRNPCL4,0,0,0,0
PRAMEF9,0,0,0,0
PRAMEF13,0,0,0,0
PRAMEF18,0,0,0,0
PRAMEF5,0,0,0,0
PRAMEF8,0,0,0,0
PRAMEF33,0,0,0,0
PRAMEF15,0,0,0,0
AC243961.1,0,0,0,0
PRAMEF14,0,0,0,0
PRAMEF19,0,0,0,0
PRAMEF17,0,0,0,0
PRAMEF20,0,0,0,0
LRRC38,0,0,0,0
AL354712.1,0,0,0,0
PDPN,3516,1884,3225,2795
AL359771.1,0,0,0,0
PRDM2,371,567,281,316
KAZN,41,54,573,56
AL357873.1,0,0,0,0
KAZN-AS1,0,0,0,0
TMEM51-AS1,0,0,0,0
TMEM51,0,400,341,1
C1orf195,0,0,0,0
FHAD1,6,4,6,0
AL031283.2,0,0,0,0
AL031283.3,0,2,4,0
AL031283.1,90,1,0,0
EFHD2,15,245,355,69
CTRC,1,0,0,0
CELA2A,0,0,0,0
CELA2B,0,0,0,0
CASP9,2,355,265,2
DNAJC16,429,1080,1061,1347
AL121992.3,0,0,0,0
AGMAT,389,818,0,0
AL121992.1,0,0,0,0
DDI2,1789,1128,1473,66
RSC1A1,0,0,0,0
AL121992.2,0,0,0,0
PLEKHM2,1526,2752,5407,3865
AL450998.3,0,0,0,0
SLC25A34,1,50,0,4
SLC25A34-AS1,0,0,0,0
TMEM82,0,0,0,0
FBLIM1,1903,882,1037,291
UQCRHL,3,7,12,2
AL450998.2,0,88,58,1
SPEN,425,355,215,75
ZBTB17,112,26,45,487
SRARP,1,0,0,0
AL355994.3,0,0,0,0
HSPB7,2839,2409,2058,1012
CLCNKA,0,0,0,0
CLCNKB,0,0,0,0
FAM131C,0,14,0,0
EPHA2,2835,1307,2092,469
AL451042.2,0,0,0,0
AL451042.1,0,0,0,0
ARHGEF19-AS1,0,0,0,0
ARHGEF19,184,455,901,722
CPLANE2,0,0,2,0
FBXO42,347,367,757,299
SZRD1,1401,1181,542,36
SPATA21,1,0,0,0
NECAP2,446,1715,2492,1022
LINC01772,273,41,40,0
AL137802.2,0,40,18,1
AL137802.1,0,0,0,0
LINC01783,0,0,0,0
NBPF1,302,1288,1748,7
AL137798.1,0,0,0,0
AL137798.2,0,0,0,0
AL021920.1,0,0,0,0
AL021920.3,0,0,0,0
CROCC,131,112,176,25
BX284668.1,0,0,0,0
BX284668.2,0,0,0,0
BX284668.5,116,45,123,8
BX284668.6,0,0,0,0
MFAP2,469,300,227,4
AL049569.1,0,0,0,0
ATP13A2,701,13,393,3
SDHB,52,1565,2153,593
PADI2,23,11,335,74
AL590644.1,0,38,32,0
AL590644.3,0,0,0,0
PADI1,29,10,5,4
PADI3,0,0,0,0
PADI4,0,0,0,0
PADI6,0,0,0,0
AC004824.1,0,0,0,0
RCC2,5379,3262,3054,1173
ARHGEF10L,1959,284,655,252
AL136529.1,0,0,0,0
ACTL8,0,0,0,0
AL357509.1,0,0,0,0
LINC01654,0,0,0,0
IGSF21,0,0,0,0
IGSF21-AS1,0,0,0,0
AL591896.1,0,0,0,0
KLHDC7A,0,0,0,0
PAX7,0,15,59,36
TAS1R2,0,0,0,0
AL080251.1,0,0,0,0
ALDH4A1,77,371,91,1
IFFO2,382,325,377,84
UBR4,2083,1810,1589,1304
AL035413.1,0,15,0,0
EMC1,6097,3955,3907,170
MRTO4,748,1121,384,403
AKR7A3,0,0,0,0
AKR7A2,1106,1198,1280,1
PQLC2,2,11,137,0
CAPZB,2592,2265,1823,1797
AL031727.2,0,0,0,0
MINOS1,3465,270,358,52
NBL1,5516,4811,4135,4393
MINOS1-NBL1,0,0,0,0
HTR6,0,0,0,0
TMCO4,1148,271,428,0
RNF186,0,0,0,0
AL391883.1,0,0,0,0
OTUD3,956,618,1718,848
PLA2G2E,0,0,0,0
PLA2G2A,57,47,26,0
PLA2G5,0,0,0,0
PLA2G2D,0,0,0,0
PLA2G2F,0,0,0,0
Z98257.1,0,0,0,0
PLA2G2C,0,0,0,0
UBXN10-AS1,0,0,0,0
UBXN10,0,0,0,0
LINC01757,0,0,0,0
Z98257.2,0,0,0,0
VWA5B1,0,0,0,0
AL020998.1,0,0,0,0
LINC01141,0,0,0,0
AL139254.1,0,0,0,0
AL139254.2,0,0,0,0
AL139254.3,0,0,0,0
CAMK2N1,40,874,31,69
MUL1,2,486,214,1
FAM43B,0,0,0,0
CDA,1,0,1,0
PINK1,312,216,329,618
PINK1-AS,182,195,172,0
DDOST,1782,3491,2104,3220
KIF17,0,0,15,0
SH2D5,115,839,0,1563
AL663074.1,0,0,0,0
HP1BP3,6925,4362,4066,1693
EIF4G3,3017,868,1979,335
ECE1,1187,554,1250,316
AL031005.1,0,0,0,0
AL031728.1,0,0,0,0
AL592309.2,0,0,0,0
NBPF3,426,45,168,18
ALPL,52,325,252,38
AL359815.1,0,0,0,0
RAP1GAP,53,0,0,0
USP48,5667,3335,4289,1272
LDLRAD2,0,0,0,0
HSPG2,1484,1161,1285,907
CELA3B,0,0,0,0
CELA3A,0,0,0,0
LINC01635,0,0,0,0
CDC42,39550,36898,45457,28008
AL031281.2,0,41,88,0
WNT4,0,0,0,0
ZBTB40,831,355,295,29
EPHA8,0,0,0,0
C1QA,0,0,0,0
C1QC,0,0,0,0
C1QB,0,0,0,0
EPHB2,0,112,0,1
AL512444.1,0,0,0,0
LACTBL1,0,0,0,0
TEX46,0,0,0,0
KDM1A,730,850,1545,162
AL031428.1,0,0,0,0
LUZP1,4332,1301,1604,914
HTR1D,0,12,0,0
LINC01355,0,0,19,0
AL109936.6,1,0,0,0
HNRNPR,5085,8269,6977,3354
ZNF436,13,1087,665,11
ZNF436-AS1,0,63,0,1
AL109936.2,0,0,0,0
TCEA3,3,8,184,1
ASAP3,1530,587,386,8
E2F2,0,8,10,0
AL021154.1,0,0,0,0
ID3,6991,2949,1753,412
MDS2,0,1,0,0
RPL11,14049,15257,11252,6870
ELOA,2431,1397,1000,584
ELOA-AS1,0,0,0,0
PITHD1,3487,2389,5074,3393
LYPLA2,33,535,480,309
GALE,17,305,1018,0
HMGCL,671,1529,36,14
FUCA1,2378,462,924,173
CNR2,1,1,0,0
AL590609.3,0,0,0,0
PNRC2,111,1132,963,354
SRSF10,5653,6040,3737,2496
AL591178.1,0,0,0,0
MYOM3,2,111,132,0
AL591178.2,0,0,0,0
IL22RA1,0,0,2,0
IFNLR1,1,9,0,0
AL590683.1,0,0,0,0
AL138902.1,0,0,0,0
GRHL3,0,0,0,0
STPG1,371,340,1273,2
NIPAL3,1912,5860,6809,2011
RCAN3,379,1727,145,2089
AL445686.2,0,0,0,0
NCMAP,0,0,1,0
SRRM1,3937,3416,3683,1609
AL445648.1,0,8,0,0
CLIC4,67757,55684,58331,33344
RUNX3,0,0,0,0
AL445471.1,0,0,0,0
AL445471.2,0,0,0,0
AL050344.1,0,0,0,0
AL031432.1,0,0,0,0
SYF2,625,2385,1481,652
AL031432.5,0,0,0,0
RSRP1,1109,761,257,72
AL031432.3,0,0,0,0
RHD,0,14,0,737
TMEM50A,6288,5782,7512,5707
RHCE,0,9,6,0
MACO1,550,457,1070,253
LDLRAP1,2907,1370,913,2610
AL606491.1,0,0,0,0
MAN1C1,35,92,363,0
AL031280.1,0,0,0,0
SELENON,207,173,352,709
AL020996.2,0,0,0,0
AL020996.1,0,20,0,0
MTFR1L,4976,2225,2730,4529
AL020996.3,0,0,0,0
AUNIP,2,0,312,1008
AL033528.2,0,0,0,0
PAQR7,346,504,905,1189
STMN1,7998,7199,6426,5580
PAFAH2,1295,666,353,244
EXTL1,0,1,3,3
SLC30A2,1,0,0,3
TRIM63,0,2,427,0
PDIK1L,0,291,731,148
FAM110D,0,1,0,0
C1orf232,0,0,0,0
AL391650.1,0,1,0,0
ZNF593,231,216,114,388
CNKSR1,0,0,0,0
CATSPER4,0,0,0,0
CEP85,790,236,199,1
SH3BGRL3,1572,1242,1825,271
UBXN11,31,50,2,46
CD52,0,0,0,0
CRYBG2,0,0,0,0
ZNF683,0,0,0,0
LIN28A,4,1,0,2
DHDDS,2399,1076,1943,339
AL513365.2,0,0,0,0
HMGN2,5641,5987,4578,2652
RPS6KA1,4,297,2,0
AL512408.1,0,0,0,0
ARID1A,1160,1317,195,98
PIGV,2232,1201,1275,353
ZDHHC18,55,259,186,0
SFN,0,0,0,0
AL034380.1,0,0,0,0
GPN2,1356,1892,758,1026
GPATCH3,164,418,189,816
NUDC,1313,1766,512,1647
NR0B2,0,0,0,0
KDF1,0,0,0,0
TRNP1,365,488,919,155
TENT5B,1,5,1,0
SLC9A1,274,115,436,14
AL590640.1,0,0,0,0
WDTC1,4,362,208,4
TMEM222,72,339,29,591
SYTL1,0,1,1,3
MAP3K6,108,380,79,1
FCN3,0,1,0,0
CD164L2,0,0,0,0
GPR3,1,245,0,0
WASF2,5601,4418,4086,3820
